year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status,_id
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Africa and the Middle East,2,0,Final,28162
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Argentina,1,0,Final,28163
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Asia,14,0,Final,28164
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Australia,334,0,Final,28165
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Austria,1,0,Final,28166
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Canada,5,0,Final,28167
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,"China, People's Republic of",2,0,Final,28168
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Europe,22,0,Final,28169
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Hong Kong (Special Administrative Region),2,0,Final,28170
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Indonesia,5,0,Final,28171
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Macau (Special Administrative Region),2,0,Final,28172
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Not Stated,22,0,Final,28173
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Oceania and Antarctica,336,0,Final,28174
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Oman,1,0,Final,28175
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Papua New Guinea,1,0,Final,28176
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Philippines,1,0,Final,28177
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Samoa,1,0,Final,28178
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Singapore,2,0,Final,28179
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,South Africa,1,0,Final,28180
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,The Americas,11,0,Final,28181
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,TOTAL,407,0,Final,28182
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Kingdom,21,0,Final,28183
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United States of America,5,0,Final,28184
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,Other,Africa and the Middle East,4,0,Final,28185
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,Other,Asia,42,0,Final,28186
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,Other,Bahrain,1,0,Final,28187
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,Other,Cambodia,1,0,Final,28188
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,Other,"China, People's Republic of",8,0,Final,28189
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,Other,"Czech Republic (to Sep 2018), Czechia (from Oct 2018)",1,0,Final,28190
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,Other,Denmark,1,0,Final,28191
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,Other,Europe,7,0,Final,28192
2014-06,2018-12,Long-term migrant,Arrivals,non-NZ,Other,Fiji,4,0,Final,28193
